date,question_user_country_code,question_count
2017-11-22,ke,960
2017-11-22,ug,1666
2017-11-23,ke,2267
2017-11-23,ug,2736
2017-11-24,ke,4045
2017-11-24,ug,1694
2017-11-25,ke,2321
2017-11-25,ug,1391
2017-11-26,ke,1553
2017-11-26,ug,1267
2017-11-27,ke,3664
2017-11-27,ug,1315
2017-11-28,ke,1882
2017-11-28,ug,1335
2017-11-29,ke,2362
2017-11-29,ug,1830
2017-11-30,ke,7310
2017-11-30,ug,1377
2017-12-01,ke,4841
2017-12-01,ug,1057
2017-12-02,ke,2265
2017-12-02,ug,1033
2017-12-03,ke,1844
2017-12-03,ug,1260
2017-12-04,ke,1473
2017-12-04,ug,1186
2017-12-05,ke,1208
2017-12-05,ug,1211
2017-12-06,ke,1243
2017-12-06,ug,1451
2017-12-07,ke,4737
2017-12-07,ug,1444
2017-12-08,ke,2766
2017-12-08,ug,1548
2017-12-09,ke,1400
2017-12-09,ug,1052
2017-12-10,ke,1278
2017-12-10,ug,1085
2017-12-11,ke,1347
2017-12-11,ug,1398
2017-12-12,ke,3005
2017-12-12,ug,1407
2017-12-13,ke,1991
2017-12-13,tz,2
2017-12-13,ug,1562
2017-12-14,ke,1215
2017-12-14,ug,1327
2017-12-15,ke,1850
2017-12-15,ug,1352
2017-12-16,ke,1263
2017-12-16,ug,991
2017-12-17,ke,916
2017-12-17,ug,995
2017-12-18,ke,1397
2017-12-18,ug,1115
2017-12-19,ke,1371
2017-12-19,ug,977
2017-12-20,ke,1662
2017-12-20,ug,981
2017-12-21,ke,5763
2017-12-21,ug,1106
2017-12-22,ke,2916
2017-12-22,ug,1296
2017-12-23,ke,1392
2017-12-23,ug,878
2017-12-24,ke,1001
2017-12-24,ug,685
2017-12-25,ke,666
2017-12-25,ug,660
2017-12-26,ke,829
2017-12-26,ug,988
2017-12-27,ke,1179
2017-12-27,ug,966
2017-12-28,ke,834
2017-12-28,ug,1448
2017-12-29,ke,951
2017-12-29,ug,1770
2017-12-30,ke,626
2017-12-30,ug,1202
2017-12-31,ke,782
2017-12-31,ug,872
2018-01-01,ke,714
2018-01-01,ug,863
2018-01-02,ke,779
2018-01-02,ug,923
2018-01-03,ke,1432
2018-01-03,ug,1297
2018-01-04,ke,1016
2018-01-04,ug,1396
2018-01-05,ke,1991
2018-01-05,ug,1733
2018-01-06,ke,1370
2018-01-06,ug,1392
2018-01-07,ke,1034
2018-01-07,ug,1195
2018-01-08,ke,4490
2018-01-08,ug,4621
2018-01-09,ke,1635
2018-01-09,ug,2529
2018-01-10,ke,925
2018-01-10,ug,1668
2018-01-11,ke,1380
2018-01-11,ug,1256
2018-01-12,ke,3582
2018-01-12,ug,1722
2018-01-13,ke,1548
2018-01-13,ug,1337
2018-01-14,ke,988
2018-01-14,ug,1231
2018-01-15,ke,1006
2018-01-15,ug,1633
2018-01-16,ke,1082
2018-01-16,ug,1374
2018-01-17,ke,4103
2018-01-17,ug,4801
2018-01-18,ke,2529
2018-01-18,ug,2694
2018-01-19,ke,1825
2018-01-19,ug,2174
2018-01-20,ke,1392
2018-01-20,ug,1214
2018-01-21,ke,1228
2018-01-21,ug,1343
2018-01-22,ke,1052
2018-01-22,ug,1509
2018-01-23,ke,1383
2018-01-23,ug,1036
2018-01-24,ke,4577
2018-01-24,ug,4270
2018-01-25,ke,2102
2018-01-25,ug,2792
2018-01-26,ke,2956
2018-01-26,ug,1963
2018-01-27,ke,1527
2018-01-27,ug,1316
2018-01-28,ke,1059
2018-01-28,ug,1153
2018-01-29,ke,862
2018-01-29,ug,1071
2018-01-30,ke,621
2018-01-30,ug,1186
2018-01-31,ke,2009
2018-01-31,ug,2332
2018-02-01,ke,7824
2018-02-01,ug,1222
2018-02-02,ke,3875
2018-02-02,ug,937
2018-02-03,ke,1671
2018-02-03,ug,731
2018-02-04,ke,1040
2018-02-04,ug,734
2018-02-05,ke,913
2018-02-05,ug,845
2018-02-06,ke,843
2018-02-06,ug,905
2018-02-07,ke,3443
2018-02-07,ug,1751
2018-02-08,ke,1558
2018-02-08,ug,1011
2018-02-09,ke,1142
2018-02-09,ug,1248
2018-02-10,ke,1009
2018-02-10,ug,937
2018-02-11,ke,1040
2018-02-11,ug,920
2018-02-12,ke,3573
2018-02-12,ug,1148
2018-02-13,ke,2294
2018-02-13,ug,1126
2018-02-14,ke,2348
2018-02-14,ug,1343
2018-02-15,ke,5434
2018-02-15,ug,1038
2018-02-16,ke,3795
2018-02-16,ug,1478
2018-02-17,ke,1738
2018-02-17,ug,1317
2018-02-18,ke,1347
2018-02-18,ug,1416
2018-02-19,ke,4673
2018-02-19,ug,1167
2018-02-20,ke,2025
2018-02-20,ug,1082
2018-02-21,ke,3365
2018-02-21,ug,1010
2018-02-22,ke,2540
2018-02-22,ug,964
2018-02-23,ke,4058
2018-02-23,ug,1125
2018-02-24,ke,2060
2018-02-24,ug,925
2018-02-25,ke,1407
2018-02-25,ug,752
2018-02-26,ke,1393
2018-02-26,ug,883
2018-02-27,ke,1467
2018-02-27,ug,773
2018-02-28,ke,6620
2018-02-28,ug,555
2018-03-01,ke,4549
2018-03-01,ug,425
2018-03-02,ke,4127
2018-03-02,ug,407
2018-03-03,ke,2333
2018-03-03,ug,272
2018-03-04,ke,1350
2018-03-04,ug,279
2018-03-05,ke,1684
2018-03-05,ug,292
2018-03-06,ke,1785
2018-03-06,ug,355
2018-03-07,ke,2361
2018-03-07,ug,1244
2018-03-08,ke,807
2018-03-08,ug,1061
2018-03-09,ke,3161
2018-03-09,ug,783
2018-03-10,ke,2276
2018-03-10,ug,752
2018-03-11,ke,1480
2018-03-11,ug,731
2018-03-12,ke,1503
2018-03-12,ug,591
2018-03-13,ke,4225
2018-03-13,ug,812
2018-03-14,ke,1711
2018-03-14,ug,951
2018-03-15,ke,6606
2018-03-15,ug,1555
2018-03-16,ke,3879
2018-03-16,ug,1328
2018-03-17,ke,2049
2018-03-17,ug,906
2018-03-18,ke,1675
2018-03-18,ug,771
2018-03-19,ke,8534
2018-03-19,ug,1279
2018-03-20,ke,6103
2018-03-20,ug,2239
2018-03-21,ke,6978
2018-03-21,ug,2607
2018-03-22,ke,9232
2018-03-22,ug,2497
2018-03-23,ke,8223
2018-03-23,ug,1916
2018-03-24,ke,6462
2018-03-24,ug,1847
2018-03-25,ke,5649
2018-03-25,ug,1632
2018-03-26,ke,4791
2018-03-26,ug,1629
2018-03-27,ke,5669
2018-03-27,ug,2154
2018-03-28,ke,4000
2018-03-28,ug,2265
2018-03-29,ke,4577
2018-03-29,ug,271
